username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
lewyongdae;08/11/2018 00:01;0;0;Wah kalo breakout ku kurang tau ni kak, tapi waktu kemaren aku pake aku ada jerawat juga dan all was fine. Malah kayak membaik hehe. Cocok2an juga kali ya, coba aja kak mana tau bisa membantu? Aku jg udah putus asa sm skinker yg mahal2 jadi mau coba DIY aja deh;;;;1,06022E+18;https://twitter.com/lewyongdae/status/1060215621781078016;
azizahfaizal;08/11/2018 00:00;0;2;bila kau dah rapat dgn family org lain yg kau asa dah sebati dgn kau ,tb2 tputus hbungn gegara stu bnda, aku harap putus ya agik dpt btego kdk biasa;;;;1,06022E+18;https://twitter.com/azizahfaizal/status/1060215478751096833;
boy_iler1;07/11/2018 23:50;0;0;"Jangan putus asa, teruslah berdoa dan usaha."" Apa yg Allah tetapkan itu pasti yg terbaik!.""";;;;1,06021E+18;https://twitter.com/boy_iler1/status/1060212952647720960;
RobotPuisi;07/11/2018 23:43;0;2;hitam pekatku yang mau putus asa serupa mega-mendung mengikuti dedahanmu;;;;1,06021E+18;https://twitter.com/RobotPuisi/status/1060211025683931136;
Risky_muQairi;07/11/2018 23:41;0;0;Putus asa adalah butanya pikiran untuk melihat jalan keluar yang masih bertebaran dimana-mana.;;;;1,06021E+18;https://twitter.com/Risky_muQairi/status/1060210571822346240;
asy419;07/11/2018 23:38;0;0;kau sangat terlihat putus asa seolah tak percaya rencana-Nya;;;;1,06021E+18;https://twitter.com/asy419/status/1060210005947768833;
norrukhila;07/11/2018 23:36;0;0;kurang dari 12 tahun hidup dgn arwah mak, byk benda aku belajar. Arwah mak tak pernah putus asa walaupun sakit. Dia sabar, byk berdiam dr bkata yg sia2. Sanggup berkorban utk anak.;;;;1,06021E+18;https://twitter.com/norrukhila/status/1060209473539604480;
Arilhassan1;07/11/2018 23:32;0;0;Ya Allah aku tak kuat dan putus asa skrg.tak tahu nak buat apa dekat hati ni mungkin kemurungan yg panjang.;;;;1,06021E+18;https://twitter.com/Arilhassan1/status/1060208471142846464;
Risky_muQairi;07/11/2018 23:31;0;0;Untuk menghindari rasa putus asa di masa depan. Sejak sekarang latihlah diri anda untuk menghadapi tugas-tugas berat dengan semangat pantang;;;;1,06021E+18;https://twitter.com/Risky_muQairi/status/1060208059727806464;
distro_home;07/11/2018 23:30;0;0;Tegas akan diri sendiri, buang pikiran negatif dan lakukan yang baik. Kegelisahan hanya milik mereka yang putus asa.;;;;1,06021E+18;https://twitter.com/distro_home/status/1060208001376706560;
fieza_miskam;07/11/2018 23:29;0;0;Busuk pon busuk lah, janji hilang gelap bwh mata nie.. dah putus asa sgt rasanya.;;;;1,06021E+18;https://twitter.com/fieza_miskam/status/1060207687374266368;
megayuniarti6;07/11/2018 23:27;0;2;Gaboleh putus asa. Tapi apa daya..;;;;1,06021E+18;https://twitter.com/megayuniarti6/status/1060207185177731072;
rroangie;07/11/2018 23:26;1;1;Jangan putus asa dlm membuat telor gulung @ kimsrunwoo pic.twitter.com/aTTj60aJRK;;@;;1,06021E+18;https://twitter.com/rroangie/status/1060206944336588801;
Risky_muQairi;07/11/2018 23:21;0;0;Kegagalan tak akan pernah membunuh anda, namun perasaan putus asa yang akan membunuh anda secara perlahan.;;;;1,06021E+18;https://twitter.com/Risky_muQairi/status/1060205539034943489;
Risky_muQairi;07/11/2018 23:16;0;0;Rasa putus asa muncul disaat kita menolak untuk berharap, dan akibatnya kita akan stag di tempat yang sama untuk waktu yang lama.;;;;1,0602E+18;https://twitter.com/Risky_muQairi/status/1060204280227885058;
noordellaadnan;07/11/2018 23:12;1;0;# putus asa;;;#;1,0602E+18;https://twitter.com/noordellaadnan/status/1060203329735651328;
ajrasalmah;07/11/2018 23:11;0;0;Mereka yang bermimpi hancur karena harapan mereka tak sesuai dengan rencana. Putus asa menjadi kenyataan. Dan ikhlas tak mau… — Yang terjadi selanjutnya adalah keputusan apa yang akan diambil. Menjadikan kehancuran sebagai pembelajaran atau keterpuruka… https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM72BS7LAJQP7OTCNYKHV2XYNMYIYNC6KOFJF46QR3K2274EIBIFRH6FIN5U36Y3N7NLRP5BJDRYDB3ACPA5OTSMP6GWOCQ27RTGTO7XSURD2Y2GIE3DFHHGEIJSPU2WLX7XZHX4EQ2HMVH2DK2C33QUOYLNOSDA6EYJC372WGTESKIESNXZ4IFVA= …;;;;1,0602E+18;https://twitter.com/ajrasalmah/status/1060203197070016517;
putrianisave_;07/11/2018 23:11;0;1;benar, semua orang punya titik lemahnya masing-masing. pasrah, lelah, tapi nga putus asa;;;;1,0602E+18;https://twitter.com/putrianisave_/status/1060203100714164225;
akugaero22;07/11/2018 23:07;0;0;Semangat jel yaa jangan putus asa ciayooo jell;;;;1,0602E+18;https://twitter.com/akugaero22/status/1060201964372320256;
lisalu6;07/11/2018 23:00;0;0;denniserfindo renaJKT48 JABODETABEK_ Ketika kamu merasa akan putus asa,;;;;1,0602E+18;https://twitter.com/lisalu6/status/1060200413138378752;
Jomblo_Imoet;07/11/2018 22:56;0;1;Trus berakhir tragis.. krn putus asa gk dapat jodoh si jomblo jadian sama sahabatnya sendiri.. Yakan @ sahabat_democl;;@;;1,0602E+18;https://twitter.com/Jomblo_Imoet/status/1060199194592403456;
kite_nia;07/11/2018 22:48;0;0;SUDAH PUTUS ASA.... !!!!!;;;;1,0602E+18;https://twitter.com/kite_nia/status/1060197427557199875;
HerbalUswah;07/11/2018 22:48;0;0;Sakit Maag anda Tak Kunjung Sembuh? Jangan Putus Asa, Solusi Telah Tiba --► # SoyaUswah & # HerbaMaag ◄-- Solusi Atasi Sakit Maag. # InfoSehat # TipsSehat;;;# # # #;1,0602E+18;https://twitter.com/HerbalUswah/status/1060197376139288576;
tomy_ungaran;07/11/2018 22:47;0;0;apa tidak dilaporkan ke kepolisian, itu kan kriminal?? semoga saja si korban, di berikan keikhlasan, kekuatan, dan kesabaran. yg penting jangan sampai putus asa. segalanya sudah tertulis sejak zaman 'azali dulu.;;;;1,0602E+18;https://twitter.com/tomy_ungaran/status/1060196985179799552;
ichwan_lee;07/11/2018 22:45;0;0;Dalam segala hal, berharap lebih baik daripada PUTUS ASA ..;;;;1,0602E+18;https://twitter.com/ichwan_lee/status/1060196654500864000;
adonesian;07/11/2018 22:42;0;0;Semangatnya bagus ya band itu mas. Rock n roll, negative dan pantang putus asa wkwkwkwkw, masio a dilut maneh ate matek;;;;1,0602E+18;https://twitter.com/adonesian/status/1060195696270295041;
mur1997qi;07/11/2018 22:40;0;0;Pek teh tgl 31nya nggawe, lapur sudah, lepas semua angan tinggi melayang coba menghindar dari kenyataan mikirin idup yg gak karuan malah bikin bingung gapernah ada jawaban, semua menjauhi lelah hati terus begini, jenuh mencoba putus asa merasa diri seolah tak punya arti~;;;;1,0602E+18;https://twitter.com/mur1997qi/status/1060195379780538368;
ritawww2;07/11/2018 22:39;0;0;Yaallah putus asa aku tuhh sma jerawat yg hilang satu tumbuh seribu. Gitu aja trs, aku kudu make apa lagi ini astagfirullah;;;;1,0602E+18;https://twitter.com/ritawww2/status/1060195078243704832;
